语汇,一级分类,二级分类,描述,关联语汇,关联语汇（反向）,主图
海派风格,设计风格,,海派风格是融合上海本地文化与中西元素的室内设计风格。常见设计手法包括采用Art Deco几何线条、石库门建筑元素，搭配红木、大理石等材质，融合传统屏风与现代家具；空间氛围感受为典雅精致，兼具怀旧韵味与时尚气息。,"石库门,老虎窗,雕花门楼,马赛克拼花,中西合璧图案,红木家具,黄铜五金,几何线条,玻璃花窗,青砖墙面,红砖镶嵌,米灰色,暗红色,墨绿色,金色,白色,深棕色,天井,客堂间,厢房,回廊,石库门入口,半开放空间,垂直交通,横向连接,庭院过渡,街巷串联,对称布局,灵活隔断,多进院落,错层设计,流线清晰,功能分区明确",,
先锋主义,设计风格,,先锋主义是突破传统、追求创新与实验性的设计风格。常见设计手法有非对称布局、非常规材料运用、几何形态解构重组；空间氛围感受为富有冲击力、未来感与探索性。,"几何图形,抽象线条,不对称构图,金属材质,玻璃,混凝土,大胆对比色,高饱和色,黑白灰,开放空间,垂直结构,交错层次,动态流线,多向动线,不规则布局",,
现代有机主义,设计风格,,现代有机主义是将自然元素与现代设计结合的风格。常见设计手法包括运用曲线造型、天然材质如木材石材、引入植物装饰；空间氛围感受为自然舒适、柔和放松且富有生命力。,曲线形态，自然纹理，有机材质，模块化组件，流动空间，开放布局，通透隔断，自然采光，柔和色调，原木色，米白色，浅灰色，绿色植物，弧形界面，动态流线，多向连接，功能复合，光影变化，生态融合,,
侘寂风格,设计风格,,侘寂风格是一种强调自然残缺、岁月痕迹的美学风格。常见设计手法包括选用天然质朴的材质如原木、水泥、粗陶，保留材料原始质感与肌理，色彩多以大地色系、灰色调为主，家具造型简洁无过多装饰，常融入旧物或手工制品，空间布局注重留白与通透。空间氛围感受宁静、质朴、淡然，带有一种侘寂独有的岁月沉淀感与自然的禅意。,"原木材质,天然石材,手工陶器,亚麻布艺,风化木,粗陶,竹编,藤编,清水混凝土,微水泥,浅米色,原木色,灰色,土褐色,暗绿色,低饱和度色彩,斑驳墙面,不规则纹理,留白,开放式布局,低矮家具,自然光线,直线与曲线结合,不对称结构,室内外连通,简洁动线,自然材质堆砌",,
现代折衷主义,设计风格,,现代折衷主义是将不同时期、风格元素融合创新的设计风格。常见设计手法包括混搭经典与现代家具、运用多元材质碰撞、提取传统图案符号进行简化重构。空间氛围感受为丰富有层次，兼具历史韵味与当代活力，既打破单调又保持整体协调。,几何线条，曲线，直线，自然纹理，金属质感，玻璃材质，石材，木材，中性色，黑白灰，原木色，金属色，蓝色，绿色，橙色，开放式布局，半开放式隔断，层叠空间，错层设计，多区域融合，自由动线，环绕式动线，引导式动线，多功能区域，灵活分区,,
摩登复古风格,设计风格,,摩登复古风格是将现代设计元素与复古元素融合的室内设计风格。常见设计手法包括采用几何线条、金属材质搭配复古图案，运用撞色或低饱和度色调，融入复古家具与现代软装；空间氛围感受为兼具时尚前卫与怀旧经典，既有现代的简洁利落，又有复古的温暖韵味。,,,
中古风,设计风格,,中古风是融合中国传统元素与现代设计的风格。常见设计手法有运用榫卯结构、屏风隔断、水墨字画，搭配木质、陶瓷、丝麻等材质；空间氛围古朴雅致，兼具文化底蕴与现代舒适感。,,,
南洋风,设计风格,,南洋风是融合东南亚热带风情与殖民文化元素的设计风格。常见设计手法包括运用藤编、柚木等自然材质，搭配芭蕉叶、鸡蛋花等热带植物图案，采用鲜艳的色彩如明黄、靛蓝、翠绿，结合百叶窗、雕花屏风等元素；空间氛围感受为热烈浓郁、自然闲适，兼具异域风情与复古韵味。,,,
装饰艺术风格 Art Deco,设计风格,,装饰艺术风格 Art Deco是结合几何图形与金属质感的现代设计风格。常见设计手法包括运用对称几何图案、折线造型、金属线条及镜面元素，搭配大胆的色彩对比；空间氛围感受为奢华、摩登且富有节奏感，兼具复古与未来感。,,,
孟菲斯,设计风格,,孟菲斯是20世纪80年代源于意大利的后现代设计风格。常见设计手法：使用明亮大胆的色彩、几何图案（如圆点、三角、波浪线）、不对称布局及对比强烈的材质组合。空间氛围感受：活泼、趣味、充满个性与艺术张力，打破传统设计的严肃与单调。,,,
